Date,AAPL,MSFT,ASML.AS,^GSPC,EURUSD,^IRX,Portfolio_PnL,Loss
2016-04-20,513.8830853582546,-3572.105897389312,-8306.005464108279,152.25100984690008,893.130345980826,-0.7499977946281294,-10319.59691810624,10319.59691810624
2016-04-21,-2721.7429319171406,852.9948318016441,989.6872873516869,-1041.512571458407,-963.2408223582993,-1.7499998211860728,-2885.564206401702,2885.564206401702
2016-04-22,-685.0959766382341,-18602.82105511556,680.5603397188942,9.571715908148457,-230.49396423106748,-0.0,-18828.27894035782,18828.27894035782
2016-04-25,-1423.4720366068648,1588.2439547685824,93.71757843247487,-362.7379241525991,-1029.433548013988,-3.250002861022949,-1136.9319784334175,1136.9319784334175
2016-04-26,-1742.7539894444062,-3235.225976521726,421.02849967032444,374.2000348473861,621.0758027377113,-1.7499998211860517,-3563.425628531897,3563.425628531897
2016-04-27,-16155.442585727511,-2441.8851475910465,3014.917196237882,329.59882234936805,532.6165065791656,-0.0,-14720.195208152141,14720.195208152141
2016-04-28,-7760.775851983648,-5156.889237728425,1855.7698400640543,-1854.7272123123341,529.4972360962764,8.750002831220627,-12378.375223032856,12378.375223032856
2016-04-29,-2890.2350309277326,-150.32995476208023,-7670.903026619035,-1015.1898461114355,474.1068880298016,4.249997437000275,-11248.300972953482,11248.300972953482
2016-05-02,-266.8577359081778,3682.398678717925,1016.3840149471026,1555.921339448821,1877.9676915932555,2.0000003278255254,7867.813989126753,-7867.813989126753
2016-05-03,4078.068106032051,-4134.040548233731,-4392.675795372963,-1742.8998776791775,1078.1336084140228,-4.499997943639755,-5117.914504783437,5117.914504783437
2016-05-04,-2613.8966413144626,451.6418695157841,-904.8786868363146,-1190.91654109451,-363.86526443700757,1.2499988079071045,-4620.665265358603,4620.665265358603
2016-05-05,-1016.821023278724,350.6872562941144,831.7373693572357,-47.80733855883042,-190.8625904756783,3.750000149011626,-69.31632651287107,69.31632651287107
2016-05-06,-1398.2157229644583,2242.615511138459,-3621.0344566367735,633.9221107105212,-1520.4915260560538,0.7499977946281503,-3662.4540860136767,3662.4540860136767
2016-05-09,188.703484325144,-1592.7125438262476,1954.1890723985016,150.64266152198957,-316.82481494303437,-5.74999675154688,378.24786272480634,-378.24786272480634
2016-05-10,1691.6386045904515,4698.926747973473,1373.6858222650424,2481.273047207467,0.0,-10.000001639127724,10235.524220397307,-10235.524220397307
2016-05-11,-2447.195560418418,146.9424898074773,-1693.9549710214244,-1921.504575573745,-239.0226625941857,-1.2499988079070976,-6155.985278608203,6155.985278608203
2016-05-12,-5934.133691410596,2242.572975138521,-3005.7668634249026,-33.89585359284893,923.4626809477285,-2.4999976158142228,-5810.260749957912,5810.260749957912
2016-05-13,497.657207472146,-2095.695584156188,3449.0594868083786,-1702.886832350497,-877.9614236770706,-0.0,-729.827145903231,729.827145903231
2016-05-16,9111.708731992645,3644.0832620677534,6962.267103683921,1949.7952779225534,-1057.5204756447483,-0.0,20610.333900022124,-20610.333900022124
2016-05-17,-1040.7914260267187,-4707.026270671847,-1191.480815064139,-1891.1727104325614,-15.843297993014621,-2.500005066394806,-8848.814525254676,8848.814525254676
2016-05-18,2844.987596069294,1480.4352726687746,1737.1661286505355,41.03153728025587,0.0,-0.5000010132789473,6103.120533655581,-6103.120533655581
2016-05-19,-953.6150086413483,-2422.6061524008155,-2959.874441675977,-742.7189045441249,-1652.0868354514541,-4.999995231628418,-8735.901337945346,8735.901337945346
2016-05-20,2692.517418516403,1486.093562660693,4775.987089812473,1200.2918445609344,-302.8047000036339,-2.0000040531158585,9850.085211493753,-9850.085211493753
2016-05-23,3156.7652122775326,-2931.049567513732,375.35742928561825,-417.5273136203377,280.3699781690495,-3.7499964237212997,460.16574217440916,-460.16574217440916
2016-05-24,3782.363772767891,7676.28599613013,3300.517663317576,2717.7275067980218,-100.98740262859032,-7.500000298023224,17368.407536087005,-17368.407536087005
2016-05-25,4354.037262525146,2555.1912020427644,3586.7958195870583,1390.1059303166894,-1397.1119588725762,6.999999284744249,10496.018254883826,-10496.018254883826
2016-05-26,1974.8290384598322,-1105.6375454354113,-135.86800339582334,-42.09320998571802,376.81738064874884,9.999997913837433,1078.047658205466,-1078.047658205466
2016-05-27,-149.4564055236288,2063.122510914929,3392.317508304534,855.5389878878874,592.2964353915143,-5.750000476837158,6748.069036498399,-6748.069036498399
2016-05-30,0.0,0.0,-669.3905551321885,0.0,-1471.9071284817983,-0.0,-2141.297683613987,2141.297683613987
2016-05-31,-1223.7315069760432,3228.337776537991,-178.86076857903083,-201.1537241179979,690.0075970170026,3.750003874301924,2318.3493777562235,-2318.3493777562235
2016-06-01,-3529.7817494261635,-708.5779756320346,-1009.2943325162344,226.8797307852378,-222.85834310232195,-2.99999862909317,-5246.6326685206095,5246.6326685206095
2016-06-02,-1885.9401347360758,-1756.366497856366,449.20418754122346,564.139233397239,951.0471554671692,6.2499940395355225,-1671.666062147275,1671.666062147275
2016-06-03,511.104847404192,-3308.808664573397,-899.4007572255023,-583.2124473389702,-663.5282822545421,-0.0,-4943.84530398822,4943.84530398822
2016-06-06,1806.1982082148716,1635.9393264723374,-1016.62974312366,977.0657038727247,3537.286536443375,5.000002682209001,6944.860034561858,-6944.860034561858
2016-06-07,1011.7854050871414,-143.95116384773286,1331.8868626333417,257.7231258395226,229.42326732340476,-3.7499964237212997,2683.117500611956,-2683.117500611956
