Date,Loss,VaR_Normal,ES_Normal,VaR_t,ES_t,VaR_HS,ES_HS,VaR_EWMA,ES_EWMA,VaR_FHS,ES_FHS
2020-03-05,31397.374692228448,23376.718888687035,23495.799680999266,29832.348900004137,34120.42139256715,33130.02067227493,33185.4039125724,56312.50081475497,56589.78311438359,90242.67438268366,89059.16024268362
2020-03-06,16820.56229666914,23526.68057817006,23646.3124034128,30124.270502473297,34535.54805206593,33130.02067227493,33493.21890051763,57453.74692776544,57736.648714045856,89235.59437287648,88059.16163064823
2020-03-09,66661.9121913286,23578.66436605923,23698.42134635758,30226.849213679896,34667.032472148356,33130.02067227493,33493.21890051763,56522.108229218225,56800.42263406434,83135.25241968452,81962.793579179
2020-03-10,-53088.60363621927,24147.885997925358,24270.10459261803,30838.659028170292,35586.787182220825,33133.08019262514,35201.257415481705,66678.55581390028,67006.88048470143,106955.96025806208,106227.48910870714
2020-03-11,40785.34673043345,24383.85478305985,24507.521606294595,31333.53152872686,36355.155741198636,33133.08019262514,35201.257415481705,71375.35260670801,71726.80426701867,114400.9164241785,113639.80912610822
2020-03-12,87991.73449161768,24612.385278690603,24736.958466663982,31713.321431615077,36913.31452791418,35264.17603753101,35871.4316530747,72999.43606820084,73358.88470237124,113460.00739372215,112771.9486309018
2020-03-13,-96968.29954350398,25529.84323667599,25658.490144326035,32467.471931657437,38090.00159990832,35628.8968333742,38429.402028213015,86736.91766708766,87164.00954980381,144851.4872228437,144263.08910118276
2020-03-16,124543.17251765584,26371.908891303123,26505.198235804542,33281.92326516569,39407.757763095324,35628.8968333742,38429.402028213015,100623.70281779143,101119.17311853774,174004.85864847837,173059.98341897962
2020-03-17,-50415.77521012651,28020.508102735334,28161.30566453698,34221.084905506636,40941.131987163484,35833.00537719091,42345.688974978315,120641.02145236064,121235.05686854466,217364.69322959124,215603.83654267708
2020-03-18,32417.27148858638,28197.162668669404,28339.10071193704,34698.73543336663,41725.15779845119,35833.00537719091,42345.688974978315,120442.27571954713,121035.33251334645,203856.72854986897,202264.73732914389
2020-03-19,-6822.947822975562,28325.01374094556,28467.341258198103,34987.62467322216,42201.1771500732,35833.00537719091,42508.67970982952,118225.19276998425,118807.33266522946,187287.42771068114,185466.7576723347
2020-03-20,42808.19801316642,28324.88633028377,28467.210413682846,34992.92012944557,42213.16093639975,35833.00537719091,42508.67970982952,114689.49692142663,115254.22707884295,168006.90465348834,166334.64275238305
2020-03-23,16472.669804945086,28540.314305325202,28683.499788000277,35409.3617452295,42881.22826620621,37051.67807409091,43072.694818755816,113839.84905618061,114400.39555436422,159125.73000859696,157633.22344270517
2020-03-24,-77488.2726542373,28586.824717303327,28730.124422564902,35505.33724129752,42995.30573191016,37051.67807409091,43072.694818755816,110770.26333416598,111315.69521702276,144162.58943575228,142660.49326303633
2020-03-25,6571.561349479478,29055.193217007385,29201.180200028713,36177.86378341906,44111.496629642585,37051.67807409091,43072.694818755816,116118.77290283579,116690.54080365179,158865.75302862693,158004.995620923
2020-03-26,-50937.484415996536,29044.139757029807,29190.092578600932,36160.131644967485,44096.474318217945,37051.67807409091,43072.694818755816,112643.58903554353,113198.2451590381,143023.94375121515,141993.56401645555
2020-03-27,37186.266803927734,29225.88768121721,29372.938300138103,36688.16959039166,44994.5016027878,37051.67807409091,43072.694818755816,113003.42654070801,113559.85450117449,142050.32077968176,141055.7051655626
2020-03-30,-36995.27355214929,29362.64966916632,29510.2546833095,37036.69815879812,45608.23315298612,37186.266803927734,43364.79876095696,111591.25409204328,112140.7285267673,135025.79446383595,133644.0612872963
2020-03-31,4996.146892210734,29445.371795365834,29593.563940987246,37326.147313982896,46058.506286668286,37186.266803927734,43364.79876095696,110226.45306523361,110769.20723071414,129145.02484104723,128036.26389941966
2020-04-01,42165.48535557722,29452.32868350568,29600.534100669996,37280.305882606626,45946.09446502034,37186.266803927734,43364.79876095696,106906.42652769518,107432.83290929403,116341.69408133927,115229.78895232882
2020-04-02,-16466.74787772822,29661.738555788088,29810.725650794982,37754.12376169318,46748.31592977661,38762.19711258615,43854.01496122957,106398.13231389863,106922.03585889014,116076.25426030844,115063.78012205118
2020-04-03,13385.377062251751,29669.331774892853,29818.384389193136,37812.37012647251,46834.84562961188,38762.19711258615,43854.01496122957,103582.70196345479,104092.74235211831,106059.98208174917,104880.97860674291
2020-04-06,-68348.7886989388,29701.28988838894,29850.428463815442,37798.64372552873,46736.82994720005,38762.19711258615,43854.01496122957,100716.39379459528,101212.32050496346,96655.63053072793,95216.76807978505
2020-04-07,6064.050397165785,30036.611541373553,30187.751439704694,38444.940730938644,47860.51583380389,38762.19711258615,43854.01496122957,105128.8867625389,105646.540552677,119229.97646657027,118561.90223672365
